RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N48254,2660,9 George Street,2.5 Stars,2.5 Stars,Office,9,George Street,PARRAMATTA,NSW,2150,-33.81351073,151.0015854,PARRAMATTA CITY COUNCIL,2.5 Stars,2018-05-31 0:00:00,Energy,Base Building
N49711,1923,9 Help Street,3.5 Stars,3.5 Stars,Office,9,Help Street,CHATSWOOD,NSW,2067,-33.79548311,151.1794274,WILLOUGHBY CITY COUNCIL,3.5 Stars,2018-11-18 0:00:00,Water,Base Building
N49711,1923,9 Help Street,5 Stars,5 Stars,Office,9,Help Street,CHATSWOOD,NSW,2067,-33.79548311,151.1794274,WILLOUGHBY CITY COUNCIL,5 Stars,2018-11-18 0:00:00,Energy,Base Building
N48663,3076,9 Hercules Street,5 Stars,5 Stars,Office,9,Hercules Street,HAMILTON,QLD,4007,-27.43961143,153.068141,BRISBANE CITY,5 Stars,2018-05-22 0:00:00,Energy,Whole Building
N48789,7432,9 Thynne Street,0 Star,0 Star,Office,9,Thynne Street,BRUCE,ACT,2617,-35.24122415,149.0929651,,0 Star,2018-06-19 0:00:00,Energy,Base Building
N47766,2510,9 Wentworth Street,4 Stars,3.5 Stars,Office,9,Wentworth Street,PARRAMATTA,NSW,2150,-33.81929173,151.0050493,PARRAMATTA CITY COUNCIL,4 Stars,2018-04-07 0:00:00,Energy,Tenancy
N48297,2510,9 Wentworth Street,4 Stars,4 Stars,Office,9,Wentworth Street,PARRAMATTA,NSW,2150,-33.81929173,151.0050493,PARRAMATTA CITY COUNCIL,4 Stars,2018-05-03 0:00:00,Water,Base Building
N48297,2510,9 Wentworth Street,5 Stars,5 Stars,Office,9,Wentworth Street,PARRAMATTA,NSW,2150,-33.81929173,151.0050493,PARRAMATTA CITY COUNCIL,5 Stars,2018-05-03 0:00:00,Energy,Base Building
N49004,2120,90 Collins Street,3 Stars,3 Stars,Office,90,Collins Street,MELBOURNE,VIC,3000,-37.8141492,144.9703648,MELBOURNE CITY,3 Stars,2018-07-18 0:00:00,Water,Base Building
N49004,2120,90 Collins Street,4 Stars,4 Stars,Office,90,Collins Street,MELBOURNE,VIC,3000,-37.8141492,144.9703648,MELBOURNE CITY,4 Stars,2018-07-18 0:00:00,Energy,Base Building
N48909,4850,91 Phillip St,2.5 Stars,2.5 Stars,Office,91,Phillip Street,PARRAMATTA,NSW,2150,-33.81316395,151.0062439,PARRAMATTA CITY COUNCIL,2.5 Stars,2018-07-24 0:00:00,Water,Base Building
N48909,4850,91 Phillip St,4 Stars,4 Stars,Office,91,Phillip Street,PARRAMATTA,NSW,2150,-33.81316395,151.0062439,PARRAMATTA CITY COUNCIL,4 Stars,2018-07-24 0:00:00,Energy,Base Building
N49412,6190,9-13 Young St,1.5 Stars,1.5 Stars,Office,9-13,Young Street,SYDNEY,NSW,2000,-33.86276266,151.2109274,COUNCIL OF THE CITY OF SYDNEY,1.5 Stars,2018-09-18 0:00:00,Energy,Base Building
N49892,3416,9-19 Elizabeth Street SYDNEY NSW 2000,0 Star,0 Star,Office,9-19,Elizabeth Street,SYDNEY,NSW,2000,NULL,NULL,NULL,0 Star,2018-11-23 0:00:00,Water,Whole Building
N49892,3416,9-19 Elizabeth Street SYDNEY NSW 2000,2.5 Stars,2.5 Stars,Office,9-19,Elizabeth Street,SYDNEY,NSW,2000,NULL,NULL,NULL,2.5 Stars,2018-11-23 0:00:00,Energy,Whole Building
N51251,2031,92 Pitt St Sydney NSW 2000,3.5 Stars,3.5 Stars,Office,92,Pitt Street,SYDNEY,NSW,2000,-33.86719119,151.208819,COUNCIL OF THE CITY OF SYDNEY,3.5 Stars,2019-02-08 0:00:00,Energy,Base Building
N48113,579,93 George Street,5 Stars,5 Stars,Office,93,George Street,PARRAMATTA,NSW,2150,-33.81516902,151.0083625,PARRAMATTA CITY COUNCIL,5 Stars,2018-05-19 0:00:00,Energy,Base Building
N49079,7482,"95 Belgravia Street, Belmont",4.5 Stars,4.5 Stars,Office,95,Belgravia Street,BELMONT,WA,6104,-31.94879081,115.9298863,CITY OF BELMONT,4.5 Stars,2018-09-19 0:00:00,Energy,Base Building
N49561,5771,95 Pacific Highway,4.5 Stars,4.5 Stars,Office,95,Pacific Highway,CHARLESTOWN,NSW,2290,-32.96598192,151.6959635,LAKE MACQUARIE CITY COUNCIL,4.5 Stars,2018-10-12 0:00:00,Energy,Base Building
N49191,1944,96 Mount Gravatt Capalaba,4 Stars,4 Stars,Office,96,Mount Gravatt Capalaba Road,UPPER MOUNT GRAVATT,QLD,4122,-27.55779546,153.0850946,BRISBANE CITY,4 Stars,2018-10-11 0:00:00,Water,Base Building
N49191,1944,96 Mount Gravatt Capalaba,5 Stars,5 Stars,Office,96,Mount Gravatt Capalaba Road,UPPER MOUNT GRAVATT,QLD,4122,-27.55779546,153.0850946,BRISBANE CITY,5 Stars,2018-10-11 0:00:00,Energy,Base Building
N48196,5962,99 Elizabeth,5 Stars,5 Stars,Office,99,Elizabeth Street,SYDNEY,NSW,2000,-33.86956421,151.2101147,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-05-10 0:00:00,Energy,Base Building
N49456,7551,99 Frome St Adelaide,2 Stars,2 Stars,Office,99,Frome Street,ADELAIDE,SA,5000,-34.92473029,138.6077407,ADELAIDE CITY COUNCIL,2 Stars,2018-10-05 0:00:00,Energy,Base Building
N48130,248,99 Gawler Place,4 Stars,4 Stars,Office,99,Gawler Place,ADELAIDE,SA,5000,-34.9249602,138.6017421,ADELAIDE CITY COUNCIL,4 Stars,2018-03-24 0:00:00,Energy,Base Building
