RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N48021,2446,NULL,2.5 Stars,2.5 Stars,Office,459,Little Collins Street,MELBOURNE,VIC,3000,-37.81655218,144.9595246,MELBOURNE CITY,2.5 Stars,2018-05-04 0:00:00,Energy,Base Building
N48043,2563,NULL,2 Stars,2 Stars,Office,231,George Street,BRISBANE CITY,QLD,4000,-27.47059689,153.0234682,BRISBANE CITY,2 Stars,2018-07-29 0:00:00,Energy,Whole Building
N48044,2565,NULL,0 Star,0 Star,Office,217,George Street,BRISBANE CITY,QLD,4000,-27.47069549,153.0235596,NULL,0 Star,2018-07-05 0:00:00,Energy,Whole Building
N48122,2829,NULL,4.5 Stars,4.5 Stars,Office,121-127,Harrington Street,THE ROCKS,NSW,2000,-33.86214831,151.2067648,COUNCIL OF THE CITY OF SYDNEY,4.5 Stars,2018-03-15 0:00:00,Energy,Base Building
N48133,2436,NULL,3 Stars,3 Stars,Office,66,Clarence Street,SYDNEY,NSW,2000,-33.86699361,151.2052849,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-04-12 0:00:00,Energy,Base Building
N48292,2453,NULL,3.5 Stars,3.5 Stars,Office,12,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78854392,151.1322955,RYDE CITY COUNCIL,3.5 Stars,2018-04-07 0:00:00,Energy,Base Building
N48292,2453,NULL,4 Stars,4 Stars,Office,12,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78854392,151.1322955,RYDE CITY COUNCIL,4 Stars,2018-04-07 0:00:00,Water,Base Building
N48419,1780,NULL,3 Stars,3 Stars,Office,607,Bourke Street,MELBOURNE,VIC,3000,-37.81667158,144.9554999,MELBOURNE CITY,3 Stars,2018-06-23 0:00:00,Water,Base Building
N48419,1780,NULL,3.5 Stars,3.5 Stars,Office,607,Bourke Street,MELBOURNE,VIC,3000,-37.81667158,144.9554999,MELBOURNE CITY,3.5 Stars,2018-06-23 0:00:00,Energy,Base Building
N48464,2638,NULL,4 Stars,4 Stars,Office,189,Coronation Drive,MILTON,QLD,4064,NULL,NULL,BRISBANE CITY,4 Stars,2018-05-02 0:00:00,Energy,Base Building
N48572,4716,NULL,4.5 Stars,4.5 Stars,Office,235,Ryrie Street,GEELONG,VIC,3220,-38.14975498,144.3632122,GREATER GEELONG CITY,4.5 Stars,2018-08-09 0:00:00,Energy,Base Building
N48572,4716,NULL,4.5 Stars,4.5 Stars,Office,235,Ryrie Street,GEELONG,VIC,3220,-38.14975498,144.3632122,GREATER GEELONG CITY,4.5 Stars,2018-08-09 0:00:00,Water,Base Building
N48576,2625,NULL,0 Star,0 Star,Office,12,Short Street,SOUTHPORT,QLD,4215,-27.97080424,153.4158096,GOLD COAST CITY,0 Star,2018-06-25 0:00:00,Energy,Base Building
N48576,2625,NULL,5 Stars,5 Stars,Office,12,Short Street,SOUTHPORT,QLD,4215,-27.97080424,153.4158096,GOLD COAST CITY,5 Stars,2018-06-25 0:00:00,Water,Base Building
N48585,2734,NULL,4 Stars,4 Stars,Office,130,Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.2086019,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-06-20 0:00:00,Water,Base Building
N48585,2734,NULL,5 Stars,5 Stars,Office,130,Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.2086019,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-06-20 0:00:00,Energy,Base Building
N48588,1806,NULL,3.5 Stars,3.5 Stars,Office,347,Kent Street,SYDNEY,NSW,2000,-33.86849651,151.2041477,COUNCIL OF THE CITY OF SYDNEY,3.5 Stars,2018-07-21 0:00:00,Water,Base Building
N48588,1806,NULL,4 Stars,4 Stars,Office,347,Kent Street,SYDNEY,NSW,2000,-33.86849651,151.2041477,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-07-21 0:00:00,Energy,Base Building
N48686,3103,NULL,2 Stars,2 Stars,Office,48,Miller Street,MURARRIE,QLD,4172,-27.4574207,153.0990547,BRISBANE CITY,2 Stars,2018-06-16 0:00:00,Energy,Whole Building
N48708,3139,NULL,3.5 Stars,3.5 Stars,Office,33,Berry Street,NORTH SYDNEY,NSW,2060,-33.8370432,151.2055775,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-11 0:00:00,Energy,Base Building
N48725,2482,NULL,3.5 Stars,3.5 Stars,Office,77,Southbank Boulevard,SOUTHBANK,VIC,3006,-37.82311924,144.9668993,MELBOURNE CITY,3.5 Stars,2018-06-06 0:00:00,Energy,Base Building
N48756,2491,NULL,2.5 Stars,2.5 Stars,Office,140,Bundall Road,BUNDALL,QLD,4217,-28.00150938,153.4136744,GOLD COAST CITY,2.5 Stars,2018-06-23 0:00:00,Energy,Whole Building
N48883,1864,NULL,3 Stars,3 Stars,Office,75,Miller Street,NORTH SYDNEY,NSW,2060,-33.8402262,151.2069144,NORTH SYDNEY COUNCIL,3 Stars,2018-08-10 0:00:00,Water,Base Building
N48883,1864,NULL,4 Stars,4 Stars,Office,75,Miller Street,NORTH SYDNEY,NSW,2060,-33.8402262,151.2069144,NORTH SYDNEY COUNCIL,4 Stars,2018-08-10 0:00:00,Energy,Base Building
N48893,1941,NULL,2.5 Stars,2.5 Stars,Office,473,Bourke Street,MELBOURNE,VIC,3000,-37.81544036,144.9598506,MELBOURNE CITY,2.5 Stars,2018-07-03 0:00:00,Energy,Base Building
N48897,2224,NULL,2 Stars,2 Stars,Office,80,Mount Street,NORTH SYDNEY,NSW,2060,-33.83876753,151.208027,NORTH SYDNEY COUNCIL,2 Stars,2018-06-30 0:00:00,Energy,Base Building
N48960,2256,NULL,4 Stars,4 Stars,Office,601,Coronation Drive,TOOWONG,QLD,4066,-27.48381153,152.9944628,BRISBANE CITY,4 Stars,2018-08-08 0:00:00,Energy,Base Building
N48968,2425,NULL,2.5 Stars,2.5 Stars,Office,256,St Georges Terrace,PERTH,WA,6000,-31.95205,115.85009,CITY OF PERTH,2.5 Stars,2018-07-07 0:00:00,Energy,Base Building
N48968,2425,NULL,3 Stars,3 Stars,Office,256,St Georges Terrace,PERTH,WA,6000,-31.95205,115.85009,CITY OF PERTH,3 Stars,2018-07-07 0:00:00,Water,Base Building
N48994,2737,NULL,3.5 Stars,3.5 Stars,Office,35-37,Chandos Street,ST LEONARDS,NSW,2065,-33.82228771,151.1966295,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-06 0:00:00,Energy,Base Building
N49051,1661,NULL,3.5 Stars,3.5 Stars,Office,1,Pacific Highway,NORTH SYDNEY,NSW,2060,-33.84086745,151.2093938,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-20 0:00:00,Water,Base Building
N49051,1661,NULL,4.5 Stars,4.5 Stars,Office,1,Pacific Highway,NORTH SYDNEY,NSW,2060,-33.84086745,151.2093938,NORTH SYDNEY COUNCIL,4.5 Stars,2018-07-20 0:00:00,Energy,Base Building
N49098,3143,NULL,3.5 Stars,3.5 Stars,Office,20,Fletcher Road,CHIRNSIDE PARK,VIC,3116,-37.76216096,145.3128137,YARRA RANGES SHIRE,3.5 Stars,2018-08-27 0:00:00,Energy,Whole Building
N49112,2376,NULL,3 Stars,3 Stars,Office,87,Colin Street,WEST PERTH,WA,6005,-31.94754,115.84215,CITY OF PERTH,3 Stars,2018-08-07 0:00:00,Water,Base Building
N49112,2376,NULL,3.5 Stars,3.5 Stars,Office,87,Colin Street,WEST PERTH,WA,6005,-31.94754,115.84215,CITY OF PERTH,3.5 Stars,2018-08-07 0:00:00,Energy,Base Building
N49126,2108,NULL,0 Star,0 Star,Office,220,St Georges Terrace,PERTH,WA,6000,-31.95293366,115.852306,CITY OF PERTH,0 Star,2018-11-01 0:00:00,Water,Base Building
N49126,2108,NULL,1.5 Stars,1.5 Stars,Office,220,St Georges Terrace,PERTH,WA,6000,-31.95293366,115.852306,CITY OF PERTH,1.5 Stars,2018-11-01 0:00:00,Energy,Base Building
N49208,2348,NULL,0 Star,0 Star,Office,99,St Georges Terrace,PERTH,WA,6000,-31.95528001,115.8569725,CITY OF PERTH,0 Star,2018-08-29 0:00:00,Energy,Base Building
N49234,4493,NULL,2.5 Stars,2.5 Stars,Office,700,Springvale Road,MULGRAVE,VIC,3170,-37.920317,145.158674,MONASH CITY,2.5 Stars,2018-12-05 0:00:00,Energy,Whole Building
N49366,4504,NULL,3.5 Stars,3.5 Stars,Office,72,Nerang Street,SOUTHPORT,QLD,4215,-27.96958803,153.4116851,GOLD COAST CITY,3.5 Stars,2018-08-25 0:00:00,Energy,Whole Building
N49407,3044,NULL,0 Star,0 Star,Office,13,Spring Street,CHATSWOOD,NSW,2067,-33.79640109,151.1849633,WILLOUGHBY CITY COUNCIL,0 Star,2018-08-28 0:00:00,Energy,Base Building
N49467,2539,NULL,4 Stars,4 Stars,Office,100,George Street,BEENLEIGH,QLD,4207,-27.71681748,153.2044777,LOGAN CITY,4 Stars,2018-10-14 0:00:00,Energy,Base Building
N49499,4466,NULL,3 Stars,3 Stars,Office,407-419,Elizabeth Street,SURRY HILLS,NSW,2010,-33.88550136,151.2077533,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-09-29 0:00:00,Energy,Base Building
N49538,3338,NULL,4 Stars,4 Stars,Office,14-16,Victoria Avenue,PERTH,WA,6000,-31.95681,115.86608,CITY OF PERTH,4 Stars,2018-11-08 0:00:00,Energy,Base Building
N49603,4402,NULL,0 Star,0 Star,Office,102,Albert Road,SOUTH MELBOURNE,VIC,3205,-37.83553536,144.9702053,PORT PHILLIP CITY,0 Star,2018-09-28 0:00:00,Water,Base Building
N49603,4402,NULL,1.5 Stars,1.5 Stars,Office,102,Albert Road,SOUTH MELBOURNE,VIC,3205,-37.83553536,144.9702053,PORT PHILLIP CITY,1.5 Stars,2018-09-28 0:00:00,Energy,Base Building
N49839,4098,NULL,2.5 Stars,2.5 Stars,Office,8,West Street,NORTH SYDNEY,NSW,2060,NULL,NULL,NULL,2.5 Stars,2018-11-20 0:00:00,Water,Base Building
N49839,4098,NULL,3.5 Stars,3.5 Stars,Office,8,West Street,NORTH SYDNEY,NSW,2060,NULL,NULL,NULL,3.5 Stars,2018-11-20 0:00:00,Energy,Base Building
N49846,2490,NULL,0 Star,0 Star,Office,130,Bundall Road,BUNDALL,QLD,4217,-28.00199907,153.4134445,GOLD COAST CITY,0 Star,2018-11-26 0:00:00,Energy,Base Building
N49893,1920,NULL,3.5 Stars,3.5 Stars,Office,446,Collins Street,MELBOURNE,VIC,3000,-37.81730801,144.9594584,MELBOURNE CITY,3.5 Stars,2019-02-22 0:00:00,Energy,Base Building
N51042,2657,NULL,0 Star,0 Star,Office,66,Kings Park Road,WEST PERTH,WA,6005,NULL,NULL,CITY OF PERTH,0 Star,2018-12-05 0:00:00,Energy,Base Building
N51042,2657,NULL,0 Star,0 Star,Office,66,Kings Park Road,WEST PERTH,WA,6005,NULL,NULL,CITY OF PERTH,0 Star,2018-12-05 0:00:00,Water,Base Building
N51088,2429,NULL,5 Stars,5 Stars,Office,545,Queen Street,BRISBANE CITY,QLD,4000,-27.46281336,153.0315497,BRISBANE CITY,5 Stars,2019-01-14 0:00:00,Energy,Base Building
N51100,4085,NULL,3 Stars,3 Stars,Office,290,Burwood Road,HAWTHORN,VIC,3122,NULL,NULL,NULL,3 Stars,2018-12-05 0:00:00,Water,Whole Building
N51100,4085,NULL,4 Stars,4 Stars,Office,290,Burwood Road,HAWTHORN,VIC,3122,NULL,NULL,NULL,4 Stars,2018-12-05 0:00:00,Energy,Whole Building
N51405,2358,NULL,4 Stars,4 Stars,Office,150,Charlotte Street,BRISBANE CITY,QLD,4000,-27.47010596,153.0276968,BRISBANE CITY,4 Stars,2019-02-13 0:00:00,Water,Base Building
N51405,2358,NULL,4.5 Stars,4.5 Stars,Office,150,Charlotte Street,BRISBANE CITY,QLD,4000,-27.47010596,153.0276968,BRISBANE CITY,4.5 Stars,2019-02-13 0:00:00,Energy,Base Building
N46622,3119,,1 Star,1 Star,Office,50,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78404864,151.1257102,RYDE CITY COUNCIL,1 Star,2018-10-05 0:00:00,Water,Whole Building
N46622,3119,,2.5 Stars,2.5 Stars,Office,50,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78404864,151.1257102,RYDE CITY COUNCIL,2.5 Stars,2018-10-05 0:00:00,Energy,Whole Building
N46662,5161,,3 Stars,3 Stars,Office,28,Margaret Street,SYDNEY,NSW,2000,NULL,NULL,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-06-23 0:00:00,Indoor Environment,Base Building
N47691,7734,,3.5 Stars,3.5 Stars,Office,123,Walker Street,NORTH SYDNEY,NSW,2060,-33.83863449,151.2092558,NORTH SYDNEY COUNCIL,3.5 Stars,2019-01-12 0:00:00,Energy,Base Building
N47822,5184,,4 Stars,4 Stars,Office,76,Morgan Street,WAGGA WAGGA,NSW,2650,-35.11638142,147.3697497,WAGGA WAGGA CITY COUNCIL,4 Stars,2018-09-28 0:00:00,Energy,Base Building
N47842,5229,,2.5 Stars,2.5 Stars,Office,53,Ord Street,WEST PERTH,WA,6005,-31.94938112,115.8361024,CITY OF PERTH,2.5 Stars,2018-03-16 0:00:00,Energy,Whole Building
N47842,5229,,4.5 Stars,4.5 Stars,Office,53,Ord Street,WEST PERTH,WA,6005,-31.94938112,115.8361024,CITY OF PERTH,4.5 Stars,2018-03-16 0:00:00,Water,Whole Building
N47856,1001,,3.5 Stars,3.5 Stars,Office,200,St Georges Terrace,PERTH,WA,6000,-31.95299713,115.8532827,NULL,3.5 Stars,2018-04-11 0:00:00,Water,Base Building
N47856,1001,,4 Stars,4 Stars,Office,200,St Georges Terrace,PERTH,WA,6000,-31.95299713,115.8532827,NULL,4 Stars,2018-04-11 0:00:00,Energy,Base Building
N47887,5411,,3.5 Stars,3.5 Stars,Office,85,George Street,BRISBANE CITY,QLD,4000,-27.47292754,153.0258687,BRISBANE CITY,3.5 Stars,2018-04-30 0:00:00,Energy,Base Building
N47887,5411,,3.5 Stars,3.5 Stars,Office,85,George Street,BRISBANE CITY,QLD,4000,-27.47292754,153.0258687,BRISBANE CITY,3.5 Stars,2018-04-30 0:00:00,Water,Base Building
N47936,808,,3 Stars,3 Stars,Office,10,Bridge Street,SYDNEY,NSW,2000,-33.86340847,151.2081663,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-03-28 0:00:00,Water,Base Building
N47936,808,,4 Stars,4 Stars,Office,10,Bridge Street,SYDNEY,NSW,2000,-33.86340847,151.2081663,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-03-28 0:00:00,Energy,Base Building
N47949,2383,,5 Stars,5 Stars,Office,30-38,Barrack Street,HOBART,TAS,7000,NULL,NULL,NULL,5 Stars,2018-03-24 0:00:00,Energy,Tenancy
N47950,2333,,5 Stars,5 Stars,Office,100,King William Street,ADELAIDE,SA,5000,-34.92507764,138.6002288,ADELAIDE CITY COUNCIL,5 Stars,2018-03-13 0:00:00,Energy,Tenancy
N47951,2538,,5 Stars,5 Stars,Office,55,Currie Street,ADELAIDE,SA,5000,-34.92491973,138.5971197,ADELAIDE CITY COUNCIL,5 Stars,2018-03-29 0:00:00,Energy,Tenancy
N47953,3574,,3 Stars,3 Stars,Office,1-7,Castlereagh Street,SYDNEY,NSW,2000,NULL,NULL,NULL,3 Stars,2018-03-24 0:00:00,Water,Base Building
N47953,3574,,3.5 Stars,3.5 Stars,Office,1-7,Castlereagh Street,SYDNEY,NSW,2000,NULL,NULL,NULL,3.5 Stars,2018-03-24 0:00:00,Energy,Base Building
N47958,1052,,3 Stars,3 Stars,Office,43,Bridge Street,HURSTVILLE,NSW,2220,-33.96442407,151.0945525,HURSTVILLE CITY COUNCIL,3 Stars,2018-03-15 0:00:00,Water,Base Building
N47958,1052,,4.5 Stars,4.5 Stars,Office,43,Bridge Street,HURSTVILLE,NSW,2220,-33.96442407,151.0945525,HURSTVILLE CITY COUNCIL,4.5 Stars,2018-03-15 0:00:00,Energy,Base Building
N47971,650,,5.5 Stars,5.5 Stars,Office,188,Collins Street,HOBART,TAS,7000,-42.88552492,147.3253631,HOBART CITY COUNCIL,5.5 Stars,2018-04-18 0:00:00,Energy,Tenancy
N48018,2592,,3 Stars,3 Stars,Office,35,Clarence Street,SYDNEY,NSW,2000,-33.86421945,151.2044878,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-05-06 0:00:00,Water,Base Building
N48018,2592,,4.5 Stars,4.5 Stars,Office,35,Clarence Street,SYDNEY,NSW,2000,-33.86421945,151.2044878,COUNCIL OF THE CITY OF SYDNEY,4.5 Stars,2018-05-06 0:00:00,Energy,Base Building
N48042,1849,,4.5 Stars,4.5 Stars,Office,222,Lonsdale Street,MELBOURNE,VIC,3000,-37.81120141,144.9652234,MELBOURNE CITY,4.5 Stars,2018-05-17 0:00:00,Water,Base Building
N48042,1849,,5 Stars,4.5 Stars,Office,222,Lonsdale Street,MELBOURNE,VIC,3000,-37.81120141,144.9652234,MELBOURNE CITY,5 Stars,2018-05-17 0:00:00,Energy,Base Building
N48058,2333,,4.5 Stars,4 Stars,Office,100,King William Street,ADELAIDE,SA,5000,-34.92507764,138.6002288,ADELAIDE CITY COUNCIL,4.5 Stars,2018-04-12 0:00:00,Energy,Base Building
N48065,2692,,3.5 Stars,3.5 Stars,Office,973,Nepean Highway,BENTLEIGH,VIC,3204,-37.93262185,145.0345831,GLEN EIRA CITY,3.5 Stars,2018-03-13 0:00:00,Energy,Tenancy
N48089,4240,,4.5 Stars,4.5 Stars,Office,76,Thomas Street,DANDENONG,VIC,3175,NULL,NULL,NULL,4.5 Stars,2018-03-27 0:00:00,Energy,Tenancy
N48100,1721,,2.5 Stars,2.5 Stars,Office,68,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78119418,151.1219519,RYDE CITY COUNCIL,2.5 Stars,2018-04-29 0:00:00,Water,Base Building
N48100,1721,,4 Stars,4 Stars,Office,68,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78119418,151.1219519,RYDE CITY COUNCIL,4 Stars,2018-04-29 0:00:00,Energy,Base Building
N48104,5138,,5 Stars,5 Stars,Office,1110,Hay Street,WEST PERTH,WA,6005,-31.94972,115.84634,CITY OF PERTH,5 Stars,2018-10-13 0:00:00,Energy,Base Building
N48104,5138,,5 Stars,5 Stars,Office,1110,Hay Street,WEST PERTH,WA,6005,-31.94972,115.84634,CITY OF PERTH,5 Stars,2018-10-13 0:00:00,Water,Base Building
N48116,457,,4.5 Stars,4.5 Stars,Office,595,Collins Street,MELBOURNE,VIC,3000,-37.81900075,144.9551592,MELBOURNE CITY,4.5 Stars,2018-05-09 0:00:00,Energy,Tenancy
N48123,1098,,4 Stars,4 Stars,Office,201,Miller Street,NORTH SYDNEY,NSW,2060,-33.83639857,151.2077658,NORTH SYDNEY COUNCIL,4 Stars,2018-04-08 0:00:00,Water,Base Building
N48123,1098,,5 Stars,5 Stars,Office,201,Miller Street,NORTH SYDNEY,NSW,2060,-33.83639857,151.2077658,NORTH SYDNEY COUNCIL,5 Stars,2018-04-08 0:00:00,Energy,Base Building
N48125,5339,,3.5 Stars,3.5 Stars,Office,60,Castlereagh Street,SYDNEY,NSW,2000,-33.86847252,151.2100952,COUNCIL OF THE CITY OF SYDNEY,3.5 Stars,2018-04-18 0:00:00,Water,Base Building
N48125,5339,,5 Stars,4.5 Stars,Office,60,Castlereagh Street,SYDNEY,NSW,2000,-33.86847252,151.2100952,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-04-18 0:00:00,Energy,Base Building
N48151,6034,,2.5 Stars,2.5 Stars,Office,70a,Camp Road,ANGLESEA,VIC,3230,-38.3962402,144.1925173,SURF COAST SHIRE,2.5 Stars,2018-03-10 0:00:00,Energy,Whole Building
N48151,6034,,4.5 Stars,4.5 Stars,Office,70a,Camp Road,ANGLESEA,VIC,3230,-38.3962402,144.1925173,SURF COAST SHIRE,4.5 Stars,2018-03-10 0:00:00,Water,Whole Building
N48163,218,,4.5 Stars,4.5 Stars,Office,90,Crown Street,WOLLONGONG,NSW,2500,-34.42515196,150.8979597,WOLLONGONG CITY COUNCIL,4.5 Stars,2018-04-20 0:00:00,Energy,Tenancy
N48169,3430,,2 Stars,1.5 Stars,Office,16-18,Wentworth Street,PARRAMATTA,NSW,2150,-33.81900786,151.0058005,PARRAMATTA CITY COUNCIL,2 Stars,2018-10-16 0:00:00,Energy,Tenancy
N48174,4862,,5.5 Stars,5.5 Stars,Office,150,Soward Way,GREENWAY,ACT,2900,NULL,NULL,NULL,5.5 Stars,2018-03-24 0:00:00,Energy,Tenancy
N48185,6334,,5 Stars,5 Stars,Office,215-223,Franklin Street,MELBOURNE,VIC,3000,-37.80964068,144.9574772,MELBOURNE CITY,5 Stars,2018-03-06 0:00:00,Energy,Whole Building
N48202,3511,,5.5 Stars,5.5 Stars,Office,7-9,Morisset Street,QUEANBEYAN,NSW,2620,NULL,NULL,NULL,5.5 Stars,2018-04-12 0:00:00,Energy,Tenancy
N48205,2332,,3.5 Stars,3.5 Stars,Office,2-14,Meredith Street,BANKSTOWN,NSW,2200,-33.91680681,151.0308989,BANKSTOWN CITY COUNCIL,3.5 Stars,2018-03-15 0:00:00,Water,Base Building
N48205,2332,,4.5 Stars,4.5 Stars,Office,2-14,Meredith Street,BANKSTOWN,NSW,2200,-33.91680681,151.0308989,BANKSTOWN CITY COUNCIL,4.5 Stars,2018-03-15 0:00:00,Energy,Base Building
N48209,5428,,3 Stars,3 Stars,Office,150,Lonsdale Street,MELBOURNE,VIC,3000,-37.81046081,144.9677269,MELBOURNE CITY,3 Stars,2018-04-11 0:00:00,Water,Base Building
N48209,5428,,4.5 Stars,4.5 Stars,Office,150,Lonsdale Street,MELBOURNE,VIC,3000,-37.81046081,144.9677269,MELBOURNE CITY,4.5 Stars,2018-04-11 0:00:00,Energy,Base Building
N48214,2683,,1.5 Stars,1.5 Stars,Office,10,William Street,PERTH,WA,6000,-31.95561,115.85627,CITY OF PERTH,1.5 Stars,2018-04-07 0:00:00,Energy,Base Building
N48214,2683,,2 Stars,2 Stars,Office,10,William Street,PERTH,WA,6000,-31.95561,115.85627,CITY OF PERTH,2 Stars,2018-04-07 0:00:00,Water,Base Building
N48240,6347,,4.5 Stars,4.5 Stars,Office,3,Terry Street,GLENORCHY,TAS,7010,-42.83466153,147.2756477,GLENORCHY CITY COUNCIL,4.5 Stars,2018-03-20 0:00:00,Energy,Base Building
N48249,6113,,1 Star,1 Star,Office,47,Burswood Road,BURSWOOD,WA,6100,-31.96760658,115.8916285,TOWN OF VICTORIA PARK,1 Star,2018-04-20 0:00:00,Water,Base Building
N48249,6113,,2.5 Stars,2.5 Stars,Office,47,Burswood Road,BURSWOOD,WA,6100,-31.96760658,115.8916285,TOWN OF VICTORIA PARK,2.5 Stars,2018-04-20 0:00:00,Energy,Base Building
N48256,6351,,0 Star,0 Star,Office,1,McKoy Street,WEST WODONGA,VIC,3690,-36.1121233,146.8610318,WODONGA CITY,0 Star,2018-03-16 0:00:00,Energy,Whole Building
N48259,2269,,2.5 Stars,2.5 Stars,Office,14,Martin Place,SYDNEY,NSW,2000,-33.86721354,151.2082321,COUNCIL OF THE CITY OF SYDNEY,2.5 Stars,2018-05-30 0:00:00,Water,Base Building
N48259,2269,,3.5 Stars,3.5 Stars,Office,14,Martin Place,SYDNEY,NSW,2000,-33.86721354,151.2082321,COUNCIL OF THE CITY OF SYDNEY,3.5 Stars,2018-05-30 0:00:00,Energy,Base Building
N48260,4781,,4 Stars,4 Stars,Office,175,Eagle Street,BRISBANE CITY,QLD,4000,-27.46581522,153.0309422,BRISBANE CITY,4 Stars,2018-04-18 0:00:00,Energy,Base Building
N48260,4781,,4 Stars,4 Stars,Office,175,Eagle Street,BRISBANE CITY,QLD,4000,-27.46581522,153.0309422,BRISBANE CITY,4 Stars,2018-04-18 0:00:00,Water,Base Building
N48276,5438,,3.5 Stars,3.5 Stars,Office,200,Adelaide Street,BRISBANE CITY,QLD,4000,NULL,NULL,NULL,3.5 Stars,2018-04-22 0:00:00,Energy,Base Building
N48277,2477,,2.5 Stars,2.5 Stars,Office,89,St Georges Terrace,PERTH,WA,6000,-31.95534766,115.8575822,CITY OF PERTH,2.5 Stars,2018-04-11 0:00:00,Energy,Base Building
N48283,2505,,4 Stars,4 Stars,Office,130,Stirling Street,PERTH,WA,6000,-31.94904669,115.8652552,CITY OF PERTH,4 Stars,2018-05-31 0:00:00,Water,Base Building
N48283,2505,,5.5 Stars,5.5 Stars,Office,130,Stirling Street,PERTH,WA,6000,-31.94904669,115.8652552,CITY OF PERTH,5.5 Stars,2018-05-31 0:00:00,Energy,Base Building
N48285,5682,,5 Stars,5 Stars,Office,38,Southgate Avenue,CANNON HILL,QLD,4170,-27.4666705,153.0929314,BRISBANE CITY,5 Stars,2018-04-13 0:00:00,Energy,Whole Building
N48300,5327,,4 Stars,4 Stars,Office,81,St Georges Terrace,PERTH,WA,6000,-31.95556615,115.8576497,CITY OF PERTH,4 Stars,2018-04-21 0:00:00,Energy,Base Building
N48312,4614,,1 Star,1 Star,Office,15-17,Prospect Street,BOX HILL,VIC,3128,NULL,NULL,NULL,1 Star,2018-04-03 0:00:00,Energy,Whole Building
N48314,2046,,5 Stars,5 Stars,Office,369,Ann Street,BRISBANE CITY,QLD,4000,-27.46424388,153.0292816,NULL,5 Stars,2018-03-31 0:00:00,Energy,Base Building
N48324,6109,,5.5 Stars,5.5 Stars,Office,8,First Avenue,BLACKTOWN,NSW,2148,-33.76840927,150.9111803,BLACKTOWN CITY COUNCIL,5.5 Stars,2018-04-28 0:00:00,Energy,Tenancy
N48327,6359,,0 Star,0 Star,Office,960,Gympie Road,CHERMSIDE,QLD,4032,-27.38111666,153.0292828,BRISBANE CITY,0 Star,2018-03-29 0:00:00,Energy,Base Building
N48335,4489,,4 Stars,4 Stars,Office,420,George Street,SYDNEY,NSW,2000,-33.86964735,151.2076236,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-04-18 0:00:00,Water,Base Building
N48335,4489,,5 Stars,5 Stars,Office,420,George Street,SYDNEY,NSW,2000,-33.86964735,151.2076236,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-04-18 0:00:00,Energy,Base Building
N48343,2505,,5 Stars,5 Stars,Office,130,Stirling Street,PERTH,WA,6000,-31.94904669,115.8652552,CITY OF PERTH,5 Stars,2018-05-11 0:00:00,Energy,Tenancy
N48347,2122,,3 Stars,3 Stars,Office,324,Queen Street,BRISBANE CITY,QLD,4000,-27.46665999,153.028551,BRISBANE CITY,3 Stars,2018-05-30 0:00:00,Energy,Base Building
N48347,2122,,3.5 Stars,3.5 Stars,Office,324,Queen Street,BRISBANE CITY,QLD,4000,-27.46665999,153.028551,BRISBANE CITY,3.5 Stars,2018-05-30 0:00:00,Water,Base Building
N48366,6374,,5 Stars,5 Stars,Office,720,Bourke Street,DOCKLANDS,VIC,3008,-37.81806896,144.9491366,MELBOURNE CITY,5 Stars,2018-04-06 0:00:00,Energy,Base Building
N48374,4695,,3.5 Stars,3.5 Stars,Office,420,St Kilda Road,MELBOURNE,VIC,3004,NULL,NULL,NULL,3.5 Stars,2018-04-10 0:00:00,Energy,Base Building
N48375,6084,,1.5 Stars,1.5 Stars,Office,112,Trenerry Crescent,ABBOTSFORD,VIC,3067,-37.79707771,144.9978452,YARRA CITY,1.5 Stars,2018-04-04 0:00:00,Energy,Whole Building
